,name,date,marketcap,volume,average price
180,azuki,"Mar 08, 2022(UTC)","$211,461,275.60","$820,564.14",10.70443644 ETH
181,azuki,"Mar 09, 2022(UTC)","$211,625,100.90","$617,647.83",9.86075185 ETH
182,azuki,"Mar 10, 2022(UTC)","$211,853,150.39","$1,145,494.90",11.21371372 ETH
183,azuki,"Mar 11, 2022(UTC)","$212,188,078.35","$743,920.89",10.2962674 ETH
184,azuki,"Mar 12, 2022(UTC)","$212,410,417.95","$1,041,683.16",10.34216983 ETH
185,azuki,"Mar 13, 2022(UTC)","$212,724,090.78","$1,610,433.23",11.36476752 ETH
186,azuki,"Mar 14, 2022(UTC)","$212,929,958.01","$701,514.47",13.77978058 ETH
187,azuki,"Mar 15, 2022(UTC)","$213,203,357.60","$657,319.85",11.12642321 ETH
188,azuki,"Mar 16, 2022(UTC)","$213,684,622.56","$1,129,439.05",15.45155291 ETH
189,azuki,"Mar 17, 2022(UTC)","$214,381,660.51","$2,047,628.67",11.12300486 ETH
190,azuki,"Mar 18, 2022(UTC)","$218,467,221.83","$9,917,596.34",13.46294373 ETH
191,azuki,"Mar 19, 2022(UTC)","$219,625,272.17","$2,752,836.10",13.13809826 ETH
192,azuki,"Mar 20, 2022(UTC)","$220,501,517.30","$1,900,766.88",14.23991393 ETH
193,azuki,"Mar 21, 2022(UTC)","$221,100,462.09","$1,565,829.94",13.52181237 ETH
194,azuki,"Mar 22, 2022(UTC)","$221,872,269.67","$2,672,479.32",13.22904309 ETH
195,azuki,"Mar 23, 2022(UTC)","$224,489,563.19","$5,757,171.20",14.54511547 ETH
196,azuki,"Mar 24, 2022(UTC)","$234,261,463.45","$19,037,449.99",17.30681477 ETH
197,azuki,"Mar 25, 2022(UTC)","$237,282,268.14","$5,911,841.11",19.50981631 ETH
198,azuki,"Mar 26, 2022(UTC)","$243,020,885.19","$10,030,590.03",19.47559113 ETH
199,azuki,"Mar 27, 2022(UTC)","$246,443,848.87","$5,602,282.84",20.6755196 ETH
200,azuki,"Mar 28, 2022(UTC)","$248,425,459.16","$3,936,394.21",19.36158362 ETH
201,azuki,"Mar 29, 2022(UTC)","$251,877,841.44","$5,876,731.98",19.5996709 ETH
202,azuki,"Mar 30, 2022(UTC)","$256,380,040.95","$6,976,436.75",27.82296213 ETH
203,azuki,"Mar 31, 2022(UTC)","$263,449,024.23","$14,400,127.47",20.31459928 ETH
204,azuki,"Apr 01, 2022(UTC)","$285,203,886.80","$35,410,874.65",27.05543969 ETH
205,azuki,"Apr 02, 2022(UTC)","$303,063,886.98","$26,818,507.56",35.86496213 ETH
206,azuki,"Apr 03, 2022(UTC)","$307,974,871.91","$8,554,563.47",33.7034369 ETH
207,azuki,"Apr 04, 2022(UTC)","$310,272,465.79","$4,598,768.54",29.94285634 ETH
